"Etablissement","Code_etablissement","Code_commune","Secteur","Effectif","Taux_reussite","Filiere"
"LYCEE ROBERT SCHUMAN (GENERAL ET TECHNO.)","0941974K","94018","PU",59,90,"S"
"LYCEE SAMUEL DE CHAMPLAIN","0941470M","94019","PU",130,88,"S"
"LYCEE PAULINE ROLAND (GENERAL ET TECHNO.)","0942269F","94021","PU",46,83,"S"
"LYCEE SAINT ANDRE","0940885B","94022","PR",48,92,"S"
"ENSEMBLE SAINTE MARIE","0942354Y","94028","PR",13,92,"S"
"LYCEE ANTOINE DE SAINT EXUPERY (GENERAL ET TECHNO.)","0940114N","94028","PU",66,86,"S"
"LYCEE EDOUARD BRANLY (GENERAL ET TECHNO.)","0941018W","94028","PU",22,91,"S"
"LYCEE JOHANNES GUTENBERG (GENERAL ET TECHNO.)","0941930M","94028","PU",57,84,"S"
"LYCEE LEON BLUM (GENERAL ET TECHNO.)","0941413A","94028","PU",96,86,"S"
"LYCEE OZAR HATORAH FILLES","0941711Z","94028","PR",22,100,"S"
"LYCEE OZAR HATORAH GARCONS","0941943B","94028","PR",17,100,"S"
"LYCEE PABLO PICASSO","0941347D","94033","PU",101,90,"S"
"LYCEE FREDERIC MISTRAL (GENERAL ET TECHNO.)","0941301D","94034","PU",149,97,"S"
"LYCEE ROMAIN ROLLAND","0940115P","94041","PU",105,87,"S"
"LYCEE CONDORCET (GENERAL ET TECHNO.)","0940122X","94068","PU",71,94,"S"
"LYCEE DARIUS MILHAUD (GENERAL ET TECHNO.)","0941474S","94043","PU",82,90,"S"
"LYCEE PAUL DOUMER (GENERAL ET TECHNO.)","0940119U","94058","PU",83,96,"S"
"LYCEE GUILLAUME BUDE (GENERAL ET TECHNO.)","0940742W","94044","PU",147,84,"S"
"LYCEE EUGENE DELACROIX","0940116R","94046","PU",125,90,"S"
"LYCEE ALBERT DE MUN","0940880W","94052","PR",97,100,"S"
"LYCEE EDOUARD BRANLY","0940117S","94052","PU",125,94,"S"
"LYCEE LOUIS ARMAND (GENERAL ET TECHNO.)","0940118T","94052","PU",66,91,"S"
"LYCEE MONTALEMBERT","0940881X","94052","PR",55,100,"S"
"LYCEE SAINT MICHEL DE PICPUS","0940882Y","94067","PR",84,100,"S"
"LYCEE D'ARSONVAL","0940121W","94068","PU",137,96,"S"
"LYCEE FRANCOIS MANSART (GENERAL ET TECHNO.)","0940585A","94068","PU",33,85,"S"
"LYCEE MARCELIN BERTHELOT","0940120V","94068","PU",230,99,"S"
"LYCEE TEILHARD DE CHARDIN","0940878U","94068","PR",100,99,"S"
"LYCEE CHRISTOPHE COLOMB (GENERAL ET TECHNO.)","0941918Z","94071","PU",130,95,"S"
"LYCEE PETIT VAL","0940891H","94071","PR",56,96,"S"
"LYCEE GUILLAUME APOLLINAIRE","0940123Y","94073","PU",137,88,"S"
"LYCEE GEORGES BRASSENS (GENERAL ET TECHNO.)","0940743X","94077","PU",61,79,"S"
"LYCEE FRANCOIS ARAGO (GENERAL ET TECHNO.)","0941952L","94078","PU",59,85,"S"
"LYCEE CLAUDE-NICOLAS LEDOUX","0940822H","94080","PR",17,100,"S"
"LYCEE HECTOR BERLIOZ","0940124Z","94080","PU",146,99,"S"
"LYCEE NOTRE DAME DE LA PROVIDENCE","0940877T","94080","PR",61,100,"S"
"LYCEE ADOLPHE CHERIOUX (GENERAL ET TECHNO.)","0941294W","94081","PU",53,91,"S"
"LYCEE EPIN","0941719H","94081","PR",37,100,"S"
"LYCEE JEAN MACE (GENERAL ET TECHNO.)","0940129E","94081","PU",88,83,"S"
"LYCEE PRIEUR DE LA COTE D'OR (GENERAL ET TECHNO.)","0210003P","21038","PU",87,83,"S"
"CLOS MAIRE (GENERAL ET TECHNO.)","0210006T","21054","PU",118,86,"S"
"LYCEE DU SAINT COEUR","0211068X","21054","PR",35,97,"S"
"LYCEE E.J. MAREY (GENERAL ET TECHNO.)","0212045J","21054","PU",79,91,"S"
"LYCEE STEPHEN LIEGEARD","0210012Z","21110","PU",107,93,"S"
"LYCEE DESIRE NISARD (GENERAL ET TECHNO.)","0210013A","21154","PU",56,91,"S"
"LYCEE JEAN-MARC BOIVIN","0211909L","21171","PU",92,99,"S"
"LYCEE CARNOT","0210015C","21231","PU",176,97,"S"
"LYCEE GUSTAVE EIFFEL","0211033J","21231","PU",185,91,"S"
"LYCEE HIPPOLYTE FONTAINE (GENERAL ET TECHNO.)","0210018F","21231","PU",62,92,"S"
"LYCEE INTERNATIONAL CHARLES DE GAULL","0211928G","21231","PU",153,94,"S"
"LYCEE LE CASTEL (GENERAL ET TECHNO.)","0210019G","21231","PU",102,83,"S"
"LYCEE LES ARCADES (GENERAL ET TECHNO.)","0211091X","21231","PR",19,79,"S"
"LYCEE MONTCHAPET","0210017E","21231","PU",115,90,"S"
"LYCEE NOTRE DAME","0211074D","21231","PR",59,95,"S"
"LYCEE SAINT BENIGNE (GENERAL ET TECHNO.)","0211090W","21231","PR",49,90,"S"
