"Etablissement","Code_etablissement","Code_commune","Secteur","Effectif","Taux_reussite","Filiere"
"LYCEE HENRI PARRIAT","0710054Y","71306","PU",184,95,"TFC"
"LYCEE JEANNE D'ARC","0710112L","71342","PR",84,99,"TFC"
"LYCEE GABRIEL VOISIN","0710071S","71543","PU",162,90,"TFC"
"LYCEE JACQUES AMYOT","0890003V","89024","PU",335,93,"TFC"
"LYCEE JEAN-JOSEPH FOURIER (GENERAL ET TECHNO.)","0890005X","89024","PU",274,79,"TFC"
"LYCEE SAINT JOSEPH (GENERAL ET TECHNO.)","0890070T","89024","PR",107,87,"TFC"
"LYCEE VAUBAN","0890819G","89024","PU",20,95,"TFC"
"LYCEE DU PARC DES CHAUMES (GENERAL ET TECHNO.)","0890008A","89025","PU",105,96,"TFC"
"LYCEE JEANNE D'ARC (GENERAL ET TECHNO.)","0890064L","89025","PR",29,83,"TFC"
"LYCEE LOUIS DAVIER (GENERAL ET TECHNO.)","0891199V","89206","PU",272,89,"TFC"
"LYCEE CATHERINE ET RAYMOND JANOT","0891200W","89387","PU",631,85,"TFC"
"LYCEE SAINT ETIENNE (GENERAL ET TECHNO.)","0890067P","89387","PR",73,100,"TFC"
"LYCEE CHEVALIER D'EON (GENERAL ET TECHNO.)","0890032B","89418","PU",171,84,"TFC"
"LYCEE PIERRE LAROUSSE","0891168L","89419","PU",136,90,"TFC"
"LYCEE BOISSY D'ANGLAS (GENERAL ET TECHNO.)","0070001N","7010","PU",297,93,"TFC"
"LYCEE SAINT DENIS","0071126L","7010","PR",325,99,"TFC"
"LYCEE ASTIER (GENERAL ET TECHNO.)","0070004S","7019","PU",57,95,"TFC"
"LYCEE JULES FROMENT","0070064G","7019","PR",234,90,"TFC"
"LYCEE MARCEL GIMOND (GENERAL ET TECHNO.)","0070003R","7019","PU",258,86,"TFC"
"LYCEE MARIE RIVIER","0070066J","7042","PR",128,95,"TFC"
"LYCEE LE CHEYLARD (GENERAL ET TECHNO.)","0071397F","7064","PU",130,93,"TFC"
"LYCEE XAVIER MALLET (GENERAL ET TECHNO.)","0071351F","7319","PU",102,94,"TFC"
"LYCEE SACRE COEUR  NOTRE DAME","0070069M","7186","PR",82,98,"TFC"
"LYCEE VINCENT D 'INDY (GENERAL ET TECHNO.)","0070021K","7186","PU",225,87,"TFC"
"LYCEE DU SACRE COEUR (GENERAL ET TECHNO.)","0070071P","7324","PR",100,95,"TFC"
"LYCEE GABRIEL FAURE (GENERAL ET TECHNO.)","0070029U","7324","PU",240,91,"TFC"
"LYCEE LES TROIS SOURCES","0261277X","26058","PU",224,94,"TFC"
"LYCEE CHATEAUNEUF","0260062B","26083","PR",62,98,"TFC"
"LYCEE SAINT BONNET","0260063C","26083","PR",58,100,"TFC"
"LYCEE FRANCOIS JEAN ARMORIN (GENERAL ET TECHNO.)","0260006R","26108","PU",105,90,"TFC"
"LYCEE SAINT LOUIS","0260072M","26108","PR",20,100,"TFC"
"LYCEE DU DIOIS","0260008T","26113","PU",71,93,"TFC"
"LYCEE ALAIN BORNE","0260015A","26198","PU",347,97,"TFC"
"LYCEE CHABRILLAN","0260064D","26198","PR",48,94,"TFC"
"LYCEE LES CATALINS (GENERAL ET TECHNO.)","0260113G","26198","PU",214,94,"TFC"
"LYCEE ROUMANILLE","0260017C","26220","PU",143,97,"TFC"
"LYCEE DR. GUSTAVE JAUME (GENERAL ET TECHNO.)","0260019E","26235","PU",197,92,"TFC"
"LYCEE ALBERT TRIBOULET","0260022H","26281","PU",314,90,"TFC"
"LYCEE DU DAUPHINE (GENERAL ET TECHNO.)","0260023J","26281","PU",193,87,"TFC"
"LYCEE SAINT MAURICE","0260066F","26281","PR",101,97,"TFC"
"LYCEE HENRI LAURENS (GENERAL ET TECHNO.)","0261397C","26333","PU",125,89,"TFC"
"LYCEE ALGOUD - LAFFEMAS (GENERAL ET TECHNO.)","0261505V","26362","PU",432,90,"TFC"
"LYCEE CAMILLE VERNET","0260035X","26362","PU",258,93,"TFC"
"LYCEE EMILE LOUBET","0260034W","26362","PU",211,96,"TFC"
"LYCEE MONTPLAISIR","0260074P","26362","PR",139,99,"TFC"
"LYCEE NOTRE DAME","0260069J","26362","PR",164,98,"TFC"
"LYCEE SAINT VICTOR","0260071L","26362","PR",88,99,"TFC"
"LYCEE SAINTE CROIX DES NEIGES","0741443S","74001","PR",23,74,"TFC"
"LYCEE CHARLES BAUDELAIRE","0741418P","74093","PU",348,93,"TFC"
"LYCEE CLAUDE LOUIS BERTHOLLET","0740003B","74010","PU",361,95,"TFC"
"LYCEE GABRIEL FAURE","0740005D","74010","PU",429,94,"TFC"
"LYCEE SAINT MICHEL","0740082M","74010","PR",271,99,"TFC"
"LYCEE DES GLIERES (GENERAL ET TECHNO.)","0740009H","74012","PU",290,86,"TFC"
"LYCEE JEAN MONNET","0741476C","74012","PU",293,92,"TFC"
"LYCEE GUILLAUME FICHET (GENERAL ET TECHNO.)","0740013M","74042","PU",245,89,"TFC"
"LYCEE ROGER FRISON ROCHE (GENERAL ET TECHNO.)","0741669M","74056","PU",79,100,"TFC"
"LYCEE CHARLES PONCET (GENERAL ET TECHNO.)","0740017S","74081","PU",374,91,"TFC"
"LYCEE LES CORDELIERS (GENERAL ET TECHNO.)","0740143D","74081","PR",45,96,"TFC"
"LYCEE ANNA DE NOAILLES (GENERAL ET TECHNO.)","0740051D","74119","PU",231,95,"TFC"
"LYCEE SAINTE FAMILLE","0740092Y","74224","PR",196,99,"TFC"
"LYCEE MONT BLANC RENE DAYVE (GENERAL ET TECHNO.)","0740027C","74208","PU",369,94,"TFC"
"LYCEE LOUIS LACHENAL (GENERAL ET TECHNO.)","0740006E","74019","PU",399,96,"TFC"
"LYCEE DE L'ALBANAIS","0741532N","74225","PU",340,97,"TFC"
"LYCEE DEMOTZ DE LA SALLE (GENERAL ET TECHNO.)","0741469V","74225","PR",99,93,"TFC"
"LYCEE SAINT JOSEPH","0740098E","74256","PR",82,93,"TFC"
"LYCEE LES BRESSIS","0741101V","74268","PR",67,99,"TFC"
"LYCEE MME DE STAEL","0740037N","74243","PU",273,93,"TFC"
"LYCEE PRESENTATION DE MARIE","0740097D","74243","PR",77,99,"TFC"
"LYCEE SAINT JOSEPH","0740099F","74280","PR",82,98,"TFC"
"LYCEE JEANNE D ARC","0741307U","74281","PR",42,100,"TFC"
"LYCEE LA VERSOIE","0740046Y","74281","PU",451,91,"TFC"
"LYCEE SAINT JOSEPH","0740100G","74281","PR",160,100,"TFC"
"LYCEE SAVOIE LEMAN (GENERAL ET TECHNO.)","0740047Z","74281","PU",91,100,"TFC"
"LYCEE SAINT FRANCOIS","0740104L","74305","PR",136,99,"TFC"
"LYCEE L'OISELET","0380008C","38053","PU",530,91,"TFC"
"LYCEE MARIE CURIE","0382920T","38151","PU",370,92,"TFC"
"EXTERNAT NOTRE DAME","0381803D","38185","PR",91,98,"TFC"
"LYCEE ANDRE  ARGOUGES (GENERAL ET TECHNO.)","0381603L","38185","PU",196,86,"TFC"
"LYCEE CHAMPOLLION","0380027Y","38185","PU",259,98,"TFC"
"LYCEE EMMANUEL  MOUNIER","0380032D","38185","PU",170,91,"TFC"
"LYCEE INTERNATIONAL EUROPOLE","0383242T","38185","PU",152,97,"TFC"
"LYCEE ISER - BORDIER","0380018N","38185","PR",22,91,"TFC"
"LYCEE LES EAUX CLAIRES","0380029A","38185","PU",307,89,"TFC"
"LYCEE LESDIGUIERES (GENERAL ET TECHNO.)","0380035G","38185","PU",59,86,"TFC"
"LYCEE LOUISE MICHEL (GENERAL ET TECHNO.)","0380034F","38185","PU",192,88,"TFC"
"LYCEE PIERRE TERMIER","0381666E","38185","PR",256,99,"TFC"
"LYCEE STENDHAL","0380028Z","38185","PU",167,96,"TFC"
"LYCEE VAUCANSON (GENERAL ET TECHNO.)","0380033E","38185","PU",162,96,"TFC"
"LYCEE PHILIBERT DELORME (GENERAL ET TECHNO.)","0382895R","38193","PU",225,86,"TFC"
"LYCEE HECTOR BERLIOZ (GENERAL ET TECHNO.)","0380014J","38130","PU",191,88,"TFC"
"LYCEE SAINTE CECILE","0381660Y","38130","PR",95,97,"TFC"
"LYCEE DE LA MATHEYSINE (GENERAL ET TECHNO.)","0380049X","38269","PU",115,96,"TFC"
"LYCEE ELIE CARTAN (GENERAL ET TECHNO.)","0380073Y","38509","PU",186,93,"TFC"
"LYCEE ITEC BOISFLEURY EUROPE","0383208F","38516","PR",243,100,"TFC"
"LYCEE UNITÉ SOINS ETUDES GRÉSIVAUDAN (GENERAL ET TECHNO.)","0381630R","38516","PU",27,85,"TFC"
"LYCEE JEANNE D'ARC","0381670J","38298","PR",71,96,"TFC"
"LYCEE CHARLES GABRIEL PRAVAZ (GENERAL ET TECHNO.)","0380053B","38315","PU",231,91,"TFC"
"LYCEE DU GRESIVAUDAN (GENERAL ET TECHNO.)","0382863F","38229","PU",358,98,"TFC"
"LYCEE PIERRE BEGHIN","0383119J","38239","PU",301,95,"TFC"
"LYCEE CAMILLE COROT","0383069E","38261","PU",237,94,"TFC"
"LYCEE SAINT MARC (GENERAL ET TECHNO.)","0383072H","38276","PR",420,99,"TFC"
"LYCEE LA PLEIADE","0382838D","38316","PU",252,92,"TFC"
"LYCEE PIERRE DU TERRAIL","0382270L","38314","PU",315,96,"TFC"
"LYCEE DE L'EDIT","0381599G","38344","PU",186,90,"TFC"
"LYCEE ARISTIDE BERGES","0382780R","38485","PU",332,93,"TFC"
"LYCEE LA SAULAIE (GENERAL ET TECHNO.)","0380063M","38416","PU",223,96,"TFC"
"LYCEE PABLO NERUDA (GENERAL ET TECHNO.)","0382203N","38421","PU",240,92,"TFC"
"LYCEE ELLA FITZGERALD (GENERAL ET TECHNO.)","0380081G","38544","PU",427,88,"TFC"
"LYCEE GALILEE","0380083J","38544","PU",145,98,"TFC"
"LYCEE ROBIN","0381678T","38544","PR",241,96,"TFC"
"LYCEE SAINT CHARLES","0382854W","38544","PR",187,97,"TFC"
"LYCEE MARIE REYNOARD","0383263R","38547","PU",282,96,"TFC"
"LYCEE ET SPORTIF JEAN PREVOST","0380097Z","38548","PU",108,95,"TFC"
"LYCEE LEONARD DE VINCI (GENERAL ET TECHNO.)","0382440W","38553","PU",245,92,"TFC"
"LYCEE PORTES DE L'OISANS (GENERAL ET TECHNO.)","0380089R","38562","PU",282,96,"TFC"
"LYCEE EDOUARD HERRIOT (GENERAL ET TECHNO.)","0380091T","38563","PU",294,93,"TFC"
"LYCEE FERDINAND BUISSON (GENERAL ET TECHNO.)","0380092U","38563","PU",186,97,"TFC"
"LYCEE NOTRE DAME DES VICTOIRES","0381683Y","38563","PR",167,96,"TFC"
"LYCEE MARLIOZ (GENERAL ET TECHNO.)","0730003G","73008","PU",288,96,"TFC"
"LYCEE JEAN MOULIN","0730005J","73011","PU",258,96,"TFC"
"LYCEE JEANNE D'ARC","0730760E","73011","PR",72,96,"TFC"
"LYCEE SAINT EXUPERY","0731507S","73054","PU",80,99,"TFC"
"LYCEE LOUIS ARMAND","0731248K","73065","PU",261,92,"TFC"
"LYCEE MONGE","0730016W","73065","PU",252,93,"TFC"
"LYCEE SAINT AMBROISE","0730763H","73065","PR",276,98,"TFC"
"LYCEE VAUGELAS","0730013T","73065","PU",393,96,"TFC"
"LYCEE DU GRANIER","0731392S","73213","PU",401,96,"TFC"
"LYCEE AMBROISE CROIZAT","0730029K","73181","PU",244,98,"TFC"
"LYCEE PAUL HEROULT","0730037U","73248","PU",212,92,"TFC"
"LYCEE RENE PERRIN (GENERAL ET TECHNO.)","0730043A","73303","PU",132,97,"TFC"
"LYCEE BEL AIR","9710993C","97103","PR",30,93,"TFC"
"LYCEE CHARLES COEFFIN (GENERAL ET TECHNO.)","9711032V","97103","PU",228,100,"TFC"
"LYCEE GERVILLE REACHE","9710002A","97105","PU",310,97,"TFC"
"LYCEE RAOUL GEORGES NICOLO (GENERAL ET TECHNO.)","9710884J","97105","PU",150,94,"TFC"
"PENSIONNAT DE VERSAILLES","9710055H","97105","PR",76,100,"TFC"
"LYCEE HYACINTHE BASTARAUD (GENERAL ET TECHNO.)","9711012Y","97112","PU",53,98,"TFC"
"LYCEE HOTELIER DU GOSIER (GENERAL ET TECHNO.)","9711066G","97113","PU",31,100,"TFC"
"LYCEE BAIMBRIDGE","9710003B","97101","PU",402,91,"TFC"
"LYCEE FÉLIX PROTO","9710921Z","97101","PU",194,94,"TFC"
"LYCEE JARDIN D'ESSAI","9710923B","97101","PU",237,96,"TFC"
"LYCEE LPO CHEVALIER DE SAINT-GEORGES (GENERAL ET TECHNO.)","9711046K","97101","PU",133,77,"TFC"
"LYCEE FAUSTIN FLERET","9710774P","97116","PU",352,94,"TFC"
"LYCEE DES DROITS DE L'HOMME","9710882G","97118","PU",385,95,"TFC"
"LYCEE LA PERSEVERANCE MIXTE","9710062R","97120","PR",46,98,"TFC"
"LYCEE MAITRISE DE MASSABIELLE","9710054G","97120","PR",125,98,"TFC"
"LYCEE POINTE NOIRE (GENERAL ET TECHNO.)","9711033W","97121","PU",76,92,"TFC"
"LYCEE NORD GRANDE TERRE (GENERAL ET TECHNO.)","9711082Z","97122","PU",116,91,"TFC"
"LYCEE ROBERT WEINUM","9711252J","97801","PU",176,95,"TFC"
"LYCEE YVES LEBORGNE","9710922A","97128","PU",284,98,"TFC"
"LYCEE SONNY RUPAIRE","9710940V","97129","PU",202,96,"TFC"
"EXTERNAT SAINT JOSEPH","9730010Y","97302","PR",120,95,"TFC"
"LYCEE ANNE MARIE JAVOUHEY (GENERAL ET TECHNO.)","9730328U","97302","PR",36,75,"TFC"
"LYCEE FELIX EBOUE","9730001N","97302","PU",316,90,"TFC"
"LYCEE LEON-GONTRAN DAMAS","9730196A","97309","PU",265,86,"TFC"
"LYCEE MELKIOR GARRE (GENERAL ET TECHNO.)","9730309Y","97302","PU",231,83,"TFC"
"LYCEE GASTON MONNERVILLE","9730108E","97304","PU",242,84,"TFC"
"LYCEE LEOPOLD ELFORT (GENERAL ET TECHNO.)","9730421V","97306","PU",87,92,"TFC"
"LYCEE LAMA PREVOT (GENERAL ET TECHNO.)","9730423X","97309","PU",178,92,"TFC"
"LYCEE BERTENE JUMINER (GENERAL ET TECHNO.)","9730235T","97311","PU",130,86,"TFC"
"LYCEE LUMINA SOPHIE (GENERAL ET TECHNO.)","9730371R","97311","PU",122,79,"TFC"
"LYCEE PAUL MOREAU (GENERAL ET TECHNO.)","9741051Z","97402","PU",144,96,"TFC"
"LYCEE LA POSSESSION (GENERAL ET TECHNO.)","9741173G","97408","PU",235,91,"TFC"
"LYCEE JEAN HINGLO (GENERAL ET TECHNO.)","9740979W","97407","PU",221,94,"TFC"
"LYCEE BOISJOLY POTIER (GENERAL ET TECHNO.)","9741087N","97422","PU",157,85,"TFC"
"LYCEE PIERRE LAGOURGUE (GENERAL ET TECHNO.)","9741263E","97422","PU",182,99,"TFC"
"LYCEE ROLAND GARROS (GENERAL ET TECHNO.)","9740002J","97422","PU",500,86,"TFC"
"LYCEE ANTOINE DE SAINT-EXUPERY (GENERAL ET TECHNO.)","9740045F","97401","PU",232,98,"TFC"
"LYCEE DE TROIS BASSINS (GENERAL ET TECHNO.)","9741186W","97423","PU",145,87,"TFC"
"LYCEE MAHATMA GANDHI","9741324W","97409","PU",282,87,"TFC"
"LYCEE SARDA GARRIGA","9740043D","97409","PU",314,90,"TFC"
"LYCEE AMIRAL PIERRE BOUVET","9740471U","97410","PU",210,97,"TFC"
"LYCEE MARIE CURIE (GENERAL ET TECHNO.)","9741231V","97410","PU",152,98,"TFC"
"LYCEE BELLEPIERRE","9741046U","97411","PU",421,91,"TFC"
"LYCEE CATHOLIQUE LEVAVASSEUR","9741256X","97411","PR",260,99,"TFC"
"LYCEE DE VINCENDO (GENERAL ET TECHNO.)","9741230U","97412","PU",178,93,"TFC"
"LYCEE PIERRE POIVRE","9740952S","97412","PU",296,92,"TFC"
"LYCEE STELLA (GENERAL ET TECHNO.)","9741052A","97413","PU",176,97,"TFC"
"LYCEE ANTOINE ROUSSIN","9740787M","97414","PU",218,87,"TFC"
"LYCEE JEAN JOLY (GENERAL ET TECHNO.)","9741182S","97414","PU",227,90,"TFC"
"LYCEE CATHOLIQUE MAISON BLANCHE (GENERAL ET TECHNO.)","9741556Y","97415","PR",118,99,"TFC"
"LYCEE DE ST PAUL 4 (GENERAL ET TECHNO.)","9741380G","97415","PU",212,93,"TFC"
"LYCEE EVARISTE DE PARNY","9740597F","97415","PU",367,93,"TFC"
"LYCEE HOTELIER LA RENAISSANCE","9740738J","97415","PU",20,95,"TFC"
"LYCEE LOUIS PAYEN","9741050Y","97415","PU",198,91,"TFC"
"LYCEE AMBROISE VOLLARD","9740019C","97416","PU",333,86,"TFC"
"LYCEE CATHOLIQUE LA SALLE ST CHARLES (GENERAL ET TECHNO.)","9741255W","97416","PR",250,98,"TFC"
"LYCEE DE BOIS D'OLIVE (GENERAL ET TECHNO.)","9741206T","97416","PU",232,88,"TFC"
"LYCEE GEORGES BRASSENS (GENERAL ET TECHNO.)","9740053P","97411","PU",271,89,"TFC"
"LYCEE LECONTE DE LISLE","9740001H","97411","PU",372,94,"TFC"
"LYCEE LISLET GEOFFROY","9740054R","97411","PU",211,93,"TFC"
"LYCEE LE VERGER","9741185V","97418","PU",272,90,"TFC"
"LYCEE BEL AIR (GENERAL ET TECHNO.)","9741270M","97420","PU",125,90,"TFC"
"LYCEE GUSTAVE EIFFEL (GENERAL ET TECHNO.)","0590011S","59017","PU",165,94,"TFC"
"LYCEE PAUL HAZARD","0590010R","59017","PU",370,88,"TFC"
"LYCEE SAINT JUDE","0592926K","59017","PR",229,100,"TFC"
"LYCEE SAINTE JEANNE D'ARC","0592928M","59033","PR",45,76,"TFC"
"LYCEE JESSE DE FOREST (GENERAL ET TECHNO.)","0590018Z","59036","PU",225,91,"TFC"
"LYCEE SAINTE THERESE","0592929N","59036","PR",41,88,"TFC"
"LYCEE SAINTE MARIE","0592932S","59056","PR",353,99,"TFC"
"LYCEE LA CROIX BLANCHE","0592935V","59090","PR",184,98,"TFC"
"LYCEE FENELON","0590035T","59122","PU",247,90,"TFC"
"LYCEE PAUL DUEZ","0590034S","59122","PU",423,89,"TFC"
"LYCEE SAINT LUC","0593061G","59122","PR",179,98,"TFC"
"LYCEE JOSEPH MARIE JACQUARD (GENERAL ET TECHNO.)","0590044C","59139","PU",99,83,"TFC"
"LYCEE DU PAYS DE CONDE (GENERAL ET TECHNO.)","0596854E","59153","PU",168,83,"TFC"
"LYCEE ARTHUR RIMBAUD","0595885B","59170","PU",353,87,"TFC"
"LYCEE ALFRED KASTLER","0590060V","59172","PU",143,81,"TFC"
"LYCEE JULES MOUSSERON","0590282L","59172","PU",159,91,"TFC"
"LYCEE ALBERT CHATELET","0590063Y","59178","PU",287,95,"TFC"
"LYCEE D'EXCELLENCE EDGAR MORIN","0596892W","59178","PU",29,86,"TFC"
"LYCEE DEFOREST DE LEWARDE (GENERAL ET TECHNO.)","0593071T","59178","PR",48,90,"TFC"
"LYCEE EDMOND LABBE","0590065A","59178","PU",186,90,"TFC"
"LYCEE JEAN-BAPTISTE COROT","0590064Z","59178","PU",198,86,"TFC"
"LYCEE SAINT JEAN","0592940A","59178","PR",137,99,"TFC"
"LYCEE AUGUSTE ANGELLIER","0590073J","59183","PU",424,96,"TFC"
"LYCEE DE L'EUROPE","0590072H","59183","PU",267,87,"TFC"
"LYCEE E.P.I.D.","0594278E","59183","PR",85,98,"TFC"
"LYCEE JEAN BART","0590071G","59183","PU",358,95,"TFC"
"LYCEE NOTRE-DAME DES DUNES","0593102B","59183","PR",186,99,"TFC"
"LYCEE VAUBAN (GENERAL ET TECHNO.)","0593058D","59183","PR",83,98,"TFC"
"LYCEE DU VAL DE LYS (GENERAL ET TECHNO.)","0597005U","59212","PU",83,83,"TFC"
"LYCEE CAMILLE CLAUDEL (GENERAL ET TECHNO.)","0590083V","59249","PU",105,91,"TFC"
"LYCEE CHARLOTTE PERRIAND (GENERAL ET TECHNO.)","0596925G","59258","PU",296,87,"TFC"
"LYCEE DE GENECH","0596281G","59258","PR",272,99,"TFC"
"LYCEE MARGUERITE DE FLANDRE","0590086Y","59266","PU",394,88,"TFC"
"LYCEE DU NOORDOVER","0595616J","59271","PU",256,89,"TFC"
"LYCEE BEAUPRE (GENERAL ET TECHNO.)","0590093F","59286","PU",248,88,"TFC"
"LYCEE DES FLANDRES","0590101P","59295","PU",389,95,"TFC"
"LYCEE FONDATION DEPOORTER","0593078A","59295","PR",87,97,"TFC"
"LYCEE SAINT JACQUES","0593136N","59295","PR",194,97,"TFC"
"LYCEE SAINT JOSEPH (GENERAL ET TECHNO.)","0593077Z","59295","PR",32,100,"TFC"
"LYCEE VALENTINE LABBE (GENERAL ET TECHNO.)","0590122M","59368","PU",276,92,"TFC"
"LYCEE JEAN PERRIN","0590110Z","59328","PU",291,88,"TFC"
"LYCEE SAINTE ODILE","0593106F","59328","PR",94,99,"TFC"
"LYCEE DUPLEIX","0590112B","59331","PU",102,87,"TFC"
"LYCEE CAMILLE DESMOULINS (GENERAL ET TECHNO.)","0590042A","59136","PU",99,83,"TFC"
"LYCEE EUGENE THOMAS (GENERAL ET TECHNO.)","0590168M","59481","PU",145,98,"TFC"
"LYCEE CESAR BAGGIO","0590121L","59350","PU",158,85,"TFC"
"LYCEE FAIDHERBE","0590119J","59350","PU",274,88,"TFC"
"LYCEE FENELON","0590116F","59350","PU",252,83,"TFC"
"LYCEE FREDERIC OZANAM","0593007Y","59350","PR",201,98,"TFC"
"LYCEE HÔTELIER INTERNATIONAL DE LILL","0590125R","59350","PU",21,81,"TFC"
"LYCEE INTERNATIONAL MONTEBELLO","0595867G","59350","PU",397,91,"TFC"
"LYCEE LOUIS PASTEUR","0590117G","59350","PU",291,86,"TFC"
"LYCEE NOTRE-DAME D'ANNAY","0593006X","59350","PR",191,95,"TFC"
"LYCEE NOTRE-DAME DE LA PAIX","0593109J","59350","PR",147,96,"TFC"
"LYCEE PRIVE AVERROES","0596681S","59350","PR",103,97,"TFC"
"LYCEE SAINT PAUL","0593114P","59350","PR",303,99,"TFC"
"LYCEE SAINT PIERRE - LA SALLE","0593117T","59350","PR",59,92,"TFC"
"LYCEE SAINTE CLAIRE","0593113N","59350","PR",139,99,"TFC"
"LYCEE ST JEAN-BAPTISTE DE LA SALLE (GENERAL ET TECHNO.)","0593005W","59350","PR",129,98,"TFC"
"LYCEE THERESE D'AVILA","0592922F","59350","PR",226,100,"TFC"
"LYCEE JEAN PROUVE","0595786U","59350","PU",53,87,"TFC"
"INSTITUT SAINT VINCENT DE PAUL (GENERAL ET TECHNO.)","0595657D","59360","PR",202,92,"TFC"
"LYCEE THEOPHILE LEGRAND (GENERAL ET TECHNO.)","0593034C","59365","PR",43,95,"TFC"
"LYCEE JEANNINE MANUEL","0596122J","59378","PR",71,100,"TFC"
"LYCEE PRIVE DE MARCQ","0593225K","59378","PR",287,100,"TFC"
"LYCEE YVES KERNANEC","0590143K","59378","PU",249,83,"TFC"
"LYCEE ANDRE LURCAT (GENERAL ET TECHNO.)","0595884A","59392","PU",88,86,"TFC"
"LYCEE DES NERVIENS","0590024F","59053","PU",98,90,"TFC"
"LYCEE NOTRE-DAME DE GRACE","0592916Z","59392","PR",106,97,"TFC"
"LYCEE PIERRE FOREST (GENERAL ET TECHNO.)","0590149S","59392","PU",325,90,"TFC"
"LYCEE NOTRE-DAME DE LA PROVIDENCE (GENERAL ET TECHNO.)","0593040J","59449","PR",66,98,"TFC"
"LYCEE BAUDELAIRE","0590182C","59512","PU",174,87,"TFC"
"LYCEE EC SUP ARTS APPLIQUES TEXTILE","0594391C","59512","PU",77,100,"TFC"
"LYCEE JEAN MOULIN (GENERAL ET TECHNO.)","0590185F","59512","PU",163,82,"TFC"
"LYCEE JEAN ROSTAND","0590184E","59512","PU",54,65,"TFC"
"LYCEE MAXENCE VAN DER MEERSCH","0590181B","59512","PU",122,72,"TFC"
"LYCEE SAINT MARTIN (GENERAL ET TECHNO.)","0592963A","59512","PR",100,92,"TFC"
"LYCEE SAINT REMI","0592921E","59512","PR",432,98,"TFC"
"LYCEE SAINT MICHEL","0593138R","59571","PR",85,98,"TFC"
"LYCEE HELENE BOUCHER (GENERAL ET TECHNO.)","0592976P","59574","PR",65,97,"TFC"
"LYCEE LOUIS PASTEUR","0590207E","59574","PU",263,90,"TFC"
"LYCEE ERNEST COUTEAUX (GENERAL ET TECHNO.)","0590192N","59526","PU",171,88,"TFC"
"LYCEE NOTRE-DAME DES ANGES","0592913W","59526","PR",130,99,"TFC"
"LYCEE COLBERT (GENERAL ET TECHNO.)","0590214M","59599","PU",127,90,"TFC"
"LYCEE EIC LICP","0592965C","59599","PR",469,95,"TFC"
"LYCEE EIC MARIE NOEL (GENERAL ET TECHNO.)","0592980U","59599","PR",91,95,"TFC"
"LYCEE GAMBETTA","0590212K","59599","PU",256,82,"TFC"
"LYCEE SACRE COEUR","0593139S","59599","PR",250,97,"TFC"
"LYCEE DAMPIERRE (GENERAL ET TECHNO.)","0592969G","59606","PR",23,91,"TFC"
"LYCEE DE L'ESCAUT","0595809U","59606","PU",342,92,"TFC"
"LYCEE DU HAINAUT","0590223X","59606","PU",137,98,"TFC"
"LYCEE HENRI WALLON","0590221V","59606","PU",345,94,"TFC"
"LYCEE LA SAGESSE (GENERAL ET TECHNO.)","0592967E","59606","PR",124,95,"TFC"
"LYCEE NOTRE-DAME","0593141U","59606","PR",191,100,"TFC"
"LYCEE WATTEAU","0590222W","59606","PU",277,95,"TFC"
"LYCEE RAYMOND QUENEAU","0594424N","59009","PU",298,88,"TFC"
"LYCEE SAINT ADRIEN LA SALLE","0592944E","59009","PR",213,100,"TFC"
"LYCEE EMILE ZOLA (GENERAL ET TECHNO.)","0590233H","59650","PU",152,76,"TFC"
"LYCEE VAUBAN (GENERAL ET TECHNO.)","0623981R","62014","PU",168,96,"TFC"
"LYCEE BAUDIMONT SAINT-CHARLES","0622196A","62041","PR",315,99,"TFC"
"LYCEE GAMBETTA CARNOT","0624430D","62041","PU",428,91,"TFC"
"LYCEE GUY MOLLET (GENERAL ET TECHNO.)","0620256S","62041","PU",393,84,"TFC"
"LYCEE ROBESPIERRE","0620006V","62041","PU",366,93,"TFC"
"LYCEE LAVOISIER","0620017G","62048","PU",112,79,"TFC"
"LYCEE PABLO PICASSO (GENERAL ET TECHNO.)","0620027T","62065","PU",94,79,"TFC"
"LYCEE JAN LAVEZZARI (GENERAL ET TECHNO.)","0622276M","62108","PU",223,91,"TFC"
"LYCEE ANDRE MALRAUX","0620042J","62119","PU",171,87,"TFC"
"LYCEE LOUIS BLARINGHEM","0620040G","62119","PU",368,95,"TFC"
"LYCEE SAINT VAAST-SAINT DOMINIQUE","0622106C","62119","PR",197,95,"TFC"
"LYCEE MARGUERITE YOURCENAR (GENERAL ET TECHNO.)","0623902E","62126","PU",217,93,"TFC"
"LYCEE EDOUARD BRANLY (GENERAL ET TECHNO.)","0620052V","62160","PU",320,92,"TFC"
"LYCEE MARIETTE","0622949U","62160","PU",453,89,"TFC"
"LYCEE NAZARETH HAFFREINGUE","0622107D","62160","PR",164,98,"TFC"
"LYCEE CARNOT (GENERAL ET TECHNO.)","0620056Z","62178","PU",355,92,"TFC"
"LYCEE LEO LAGRANGE","0620059C","62186","PU",92,87,"TFC"
"LYCEE LEONARD DE VINCI (GENERAL ET TECHNO.)","0624141P","62193","PU",322,88,"TFC"
"LYCEE PIERRE DE COUBERTIN","0620062F","62193","PU",284,88,"TFC"
"LYCEE SAINT PIERRE","0622110G","62193","PR",130,97,"TFC"
"LYCEE SOPHIE BERTHELOT","0620063G","62193","PU",377,91,"TFC"
